"parlparseid","parlparsememberid","firstname","lastname","party","MP position","Constituency position"
"uk.org.publicwhip/person/24723","uk.org.publicwhip/member/40230","Fiona","O'Donnell","lab",-0.694275441417602,-0.495509354063969
"uk.org.publicwhip/person/24726","uk.org.publicwhip/member/40342","Cathy","Jamieson","lab",-0.935652755703452,-1.19792376646829
"uk.org.publicwhip/person/24728","uk.org.publicwhip/member/40094","Nick","Smith","lab",-0.585164513464201,-1.57495005246056
"uk.org.publicwhip/person/24729","uk.org.publicwhip/member/40553","Gavin","Williamson","con",1.1628718593555,1.56742747338584
"uk.org.publicwhip/person/24730","uk.org.publicwhip/member/40217","Thomas","Docherty","lab",-0.501243720560378,-1.34064906560551
"uk.org.publicwhip/person/24733","uk.org.publicwhip/member/40193","Gregg","McClymont","lab",NA,-1.36948318176235
"uk.org.publicwhip/person/24734","uk.org.publicwhip/member/40272","Margaret","Curran","lab",-0.786983644167895,-2.18203771197509
"uk.org.publicwhip/person/24735","uk.org.publicwhip/member/40374","Graeme","Morrice","lab",-1.029348820023,-0.755554432794368
"uk.org.publicwhip/person/24736","uk.org.publicwhip/member/40035","Guto","Bebb","con",NA,0.141962549954781
"uk.org.publicwhip/person/24737","uk.org.publicwhip/member/40038","Pamela","Nash","lab",-0.9563765933538,-1.68242548917915
"uk.org.publicwhip/person/24738","uk.org.publicwhip/member/40271","Anas","Sarwar","lab",-1.10604487854427,-1.75839327248321
"uk.org.publicwhip/person/24739","uk.org.publicwhip/member/40408","Glyn","Davies","con",1.0735918041399,0.522114211209476
"uk.org.publicwhip/person/24740","uk.org.publicwhip/member/40623","Alun","Cairns","con",1.24543015716092,0.606156941620808
"uk.org.publicwhip/person/24741","uk.org.publicwhip/member/40453","Andrew","Bridgen","con",1.43911506138355,0.942184662393947
"uk.org.publicwhip/person/24742","uk.org.publicwhip/member/40579","Alex","Cunningham","lab",-1.26694913850216,-0.566612656514063
"uk.org.publicwhip/person/24745","uk.org.publicwhip/member/40463","Marcus","Jones","con",1.56728811427297,0.419636077153288
"uk.org.publicwhip/person/24747","uk.org.publicwhip/member/40598","Christopher","Pincher","con",NA,0.795282889944298
"uk.org.publicwhip/person/24748","uk.org.publicwhip/member/40317","Andrew","Bingham","con",1.33747211590795,0.429271956572482
"uk.org.publicwhip/person/24749","uk.org.publicwhip/member/40540","Stephen","Metcalfe","con",1.18501892149424,0.969434188885677
"uk.org.publicwhip/person/24750","uk.org.publicwhip/member/40173","Stephen","Mosley","con",1.122267490475,-0.107981565881009
"uk.org.publicwhip/person/24754","uk.org.publicwhip/member/40235","Stephen","Lloyd","lib",0.436098550867719,0.80003503469179
"uk.org.publicwhip/person/24756","uk.org.publicwhip/member/40156","Daniel","Poulter","con",1.36682332046599,1.16713121184821
"uk.org.publicwhip/person/24757","uk.org.publicwhip/member/40251","Jessica","Lee","con",0.902755524389834,0.560067542621748
"uk.org.publicwhip/person/24758","uk.org.publicwhip/member/40299","Andrew","Jones","con",1.12567259804971,0.8101127935321
"uk.org.publicwhip/person/24759","uk.org.publicwhip/member/40475","Andrew","Stephenson","con",1.24388925814859,0.391524417067022
"uk.org.publicwhip/person/24760","uk.org.publicwhip/member/40573","Jeremy","Lefroy","con",1.08184044271531,0.617827353460782
"uk.org.publicwhip/person/24762","uk.org.publicwhip/member/40057","Michael","Dugher","lab",-0.851087511146877,-1.0783796511184
"uk.org.publicwhip/person/24763","uk.org.publicwhip/member/40238","Sheila","Gilmore","lab",-0.849475675835577,-1.30623070113034
"uk.org.publicwhip/person/24767","uk.org.publicwhip/member/40344","Karl","Turner","lab",-1.08947612771341,-0.947512293500416
"uk.org.publicwhip/person/24769","uk.org.publicwhip/member/40542","Heather","Wheeler","con",NA,0.802328674267219
