Person.ID,First.name,Last.name,Party,Constituency,PCON22CD,DisplayName,SocialistCampaignGroup,TribuneGroup,OneNation,TRG_Patron,ERG_Subscriber
10913,Michelle,Gildernew,Sinn Féin,Fermanagh and South Tyrone,N06000007,Michelle GILDERNEW (Fermanagh and South Tyrone),0,0,0,0,0
25666,Preet Kaur,Gill,Labour/Co-operative,"Birmingham, Edgbaston",E14000560,"Preet Kaur GILL (Birmingham, Edgbaston)",0,1,0,0,0
25629,Paul,Girvan,DUP,South Antrim,N06000014,Paul GIRVAN (South Antrim),0,0,0,0,0
24839,John,Glen,Conservative,Salisbury,E14000912,John GLEN (Salisbury),0,0,0,0,0
24927,Mary,Glindon,Labour,North Tyneside,E14000853,Mary GLINDON (North Tyneside),0,0,0,0,0
11804,Robert,Goodwill,Conservative,Scarborough and Whitby,E14000913,Robert GOODWILL (Scarborough and Whitby),0,0,0,0,0
11858,Michael,Gove,Conservative,Surrey Heath,E14000983,Michael GOVE (Surrey Heath),0,0,0,0,1
25299,Patrick,Grady,Scottish National Party,Glasgow North,S14000031,Patrick GRADY (Glasgow North),0,0,0,0,0
24921,Richard,Graham,Conservative,Gloucester,E14000712,Richard GRAHAM (Gloucester),0,0,0,0,0
24796,Helen,Grant,Conservative,Maidstone and The Weald,E14000804,Helen GRANT (Maidstone and The Weald),0,0,0,0,0
25273,Peter,Grant,Scottish National Party,Glenrothes,S14000036,Peter GRANT (Glenrothes),0,0,0,0,0
10240,James,Gray,Conservative,North Wiltshire,E14000860,James GRAY (North Wiltshire),0,0,0,0,0
10920,Chris,Grayling,Conservative,Epsom and Ewell,E14000694,Chris GRAYLING (Epsom and Ewell),0,0,0,0,1
25359,Chris,Green,Conservative,Bolton West,E14000580,Chris GREEN (Bolton West),0,0,0,0,0
10241,Damian,Green,Conservative,Ashford,E14000536,Damian GREEN (Ashford),0,0,1,1,0
26034,Sarah,Green,Liberal Democrat,Chesham and Amersham,E14000631,Sarah GREEN (Chesham and Amersham),0,0,0,0,0
24774,Lilian,Greenwood,Labour,Nottingham South,E14000867,Lilian GREENWOOD (Nottingham South),0,1,0,0,0
25349,Margaret,Greenwood,Labour,Wirral West,E14001044,Margaret GREENWOOD (Wirral West),0,0,0,0,0
25927,Andrew,Griffith,Conservative,Arundel and South Downs,E14000534,Andrew GRIFFITH (Arundel and South Downs),0,0,0,0,0
11692,Nia,Griffith,Labour,Llanelli,W07000045,Nia GRIFFITH (Llanelli),0,1,0,0,0
25812,James,Grundy,Conservative,Leigh,E14000785,James GRUNDY (Leigh),0,0,0,0,0
25898,Jonathan,Gullis,Conservative,Stoke-on-Trent North,E14000973,Jonathan GULLIS (Stoke-on-Trent North),0,0,0,0,1
